original_name,company_name
New America High Income Fund Inc.,new america high income
AAR Corp,aar
Addmaster Corp,addmaster
ACME UNITED CORP,acme united
First Trust Switzerland AlphaDEX Fund,first trust switzerland alphadex
ALL AMERICAN LIFE & FINL CORP,all american life finl
ALEXANDER & ALEXANDER SVCS INC,alexander alexander svcs
AMERICAN AIRLINES GROUP INC,american airlines
COMMUNICATIONS & ENTERTNMT CORP,communications entertnmt
CAREER EDUCATION CORP,career education
ASK GROUP INC,ask
Aeroflex Inc,aeroflex
NUVEEN MUNCIPAL INCOME FUND INC,nuveen muncipal income
AMERICAN SOUTH AFRICAN INVT LTD,american south african invt
ATE Enterprises Inc,ate enterprises
AVX Corp.,avx
FIRST TR EXCH TRD ALPHADEX FD II,first tr exch trd alphadex fd ii
Honeywell International Inc,honeywell international
Pinnacle West Capital Corp,pinnacle west capital
PHYSICIANS RESOURCE GROUP INC,physicians resource
PARAGON REAL EST EQU AND INV TR,paragon real est equ and inv tr
PROG HOLDINGS INC,prog
ABBOTT LABORATORIES,abbott laboratories
Ackerley Group Inc,ackerley
ACMAT CORP,acmat
Acme Electric Corp,acme electric
NUVEEN MUNICIPAL VALUE FUND,nuveen municipal value
BK Technologies Corp,bk technologies
AMREP Corp.,amrep
Adams Diversified Equity Fund Inc,adams diversified equity
ADAMS EXPRESS CO,adams express
Adams Resources & Energy Inc.,adams resources energy
ADCOR ELECTRONICS INC,adcor electronics
ADVERTISING UNLIMITED LTD,advertising unlimited
AEQUITRON MEDICAL INC,aequitron medical
AERO SYSTEMS INC,aero systems
NUVEEN NEW YORK MUN VALUE FUND,nuveen new york mun value
AEROJET GENERAL CORP,aerojet general
ADVANCED MICRO DEVICES INC,advanced micro devices
ADVENTURE LANDS OF AMERICA INC,adventure lands of america
Aetna Inc.,aetna
AETNA INC NEW,aetna new
AEICOR INC,aeicor
Affiliated Capital Corp,affiliated capital
Agnico Eagle Mines Ltd,agnico eagle mines
Alanco Technologies Inc,alanco technologies
NUVEEN PREMIUM INC MUNI FD INC,nuveen premium muni fd
AID AUTO STORES INC,aid auto stores
ALANCO LTD,alanco
Air Products and Chemicals Inc.,air products and chemicals
AIR PRODUCTS & CHEMICALS INC,air products chemicals
ALANCO RESOURCES CORP,alanco resources
AIR TRANSPORTATION HLDG CO INC,air transportation hldg
AIR WISCONSIN INC,air wisconsin
AIR WISCONSIN SERVICES INC,air wisconsin services
AIRBORNE FREIGHT CORP,airborne freight
AIRBORNE INC,airborne
ALANCO ENVIRONMENTAL RES CORP,alanco environmental res
OPPENHEIMER MULTI SECTOR INC TR,oppenheimer multi sector tr
Alaska Air Group Inc,alaska air
ALASKA AIRLS INC,alaska airls
ALASKA AIRGROUP INC,alaska airgroup
Atrion Corp,atrion
Western Asset Investment Grade Income Fund Inc,western asset investment grade income
IKON Office Solutions Inc.,ikon office solutions
INTERCHEMICAL CORP,interchemical
INMONT CORP,inmont
PACIFIC AMERICAN INCOME SHS INC,pacific american income shs
WESTERN ASSET INCOME FUND,western asset income
MATRIX PHARMACEUTICAL INC,matrix pharmaceutical
MATSON INC,matson
ALEXANDER ENERGY CORP,alexander energy
ALEXANDERS INC,alexanders
Lehigh Press Inc,lehigh press
Adams Natural Resources Fund Inc,adams natural resources
Alico Inc,alico
ALGOMA STEEL GROUP INC,algoma steel
Alleghany Corp,alleghany
ALLEGHANY CORP DE,alleghany de
Allen Organ Company,allen organ company
ALLEGHENY ENERGY INC,allegheny energy
PETROLEUM & RESOURCES CORP,petroleum resources
ALLEN ORGAN CO,allen organ
ALLIED BANCSHARES INC,allied bancshares
ALLIED SECURITY INC,allied security
HONEYWELL INC,honeywell
ALUMINUM SPECIALTY CO,aluminum specialty
ALLIS CHALMERS CORP,allis chalmers
ALLIS CHALMERS ENERGY INC,allis chalmers energy
Skyworks Solutions Inc,skyworks solutions
PUTNAM HIGH INCOME CONV BOND FD,putnam high income conv fd
ALPHA PETROLEUM EXPLORATION CORP,alpha petroleum exploration
SENTO TECHNICAL INNOVATIONS CORP,sento technical innovations
SENTO CORP,sento
Hatteras Income Securities Inc.,hatteras income securities
HATTERAS INCOME SECS INC,hatteras income secs
BlackRock Senior High Income Fund Inc,blackrock senior high income
First Trust India Nifty 50 Equal Weight ETF,first trust india nifty equal weight
HELVETIA FUND INC,helvetia
Amcole Energy Corp,amcole energy
SWISS HELVETIA FUND INC,swiss helvetia
Hess Corp,hess
HESSTON CORP,hesston
LUMINA COPPER CORP,lumina copper
U-Haul Holding Co,uhaul
AMERCO,amerco
AMERICAN BUILDING MAINTENANCE IN,american building maintenance in
PRICE CAPITAL CORP,price capital
PROMUS COMPANIES INC,promus companies
PRIMERICA INC,primerica
Invesco Bond Fund,invesco
VAN KAMPEN BOND FUND,van kampen
INVESCO VAN KAMPEN BOND FUND,invesco van kampen
American Diagnostics Corp,american diagnostics
AMERICAN ECOLOGY CORP,american ecology
AMERICAN ELECTRIC POWER CO INC,american electric power
AMERICAN FLETCHER CORP,american fletcher
HIGH YIELD PLUS FD INC,high yield plus fd
American Vantage Companies,american vantage companies
AMERICAN VANTAGE COS,american vantage cos
AMERICAN EXPRESS CO,american express
Aflac Incorporated,aflac incorporated
AFLAC INC,aflac
AMERICAN FILTRONA CORP,american filtrona
AMERICAN HELIOTHERMAL CORP,american heliothermal
Barings Corporate Investors,barings corporate investors
AMERICAN FURNITURE INC,american furniture
Mexico Fund Inc. (The),mexico
Amdura Corp,amdura
ASSOCIATED PRODUCTIONS INC,associated productions
Wyeth,wyeth
Curtiss-Wright Corp,curtisswright
American International Group Inc,american international
American Management Systems Inc.,american management systems
AMERICAN INTERNATIONAL PICTURES,american international pictures
American Locker Group Inc,american locker
Damon Group Inc,damon
Gallery of History Inc,gallery of history
AMERICAN MEDICAL ALERT CORP,american medical alert
AMERICAN NATIONAL INS CO,american national ins
AMERICAN NATIONAL GROUP INC,american national
AMERICAN NETWORK INC,american network
AMERICAN PACIFIC CORP,american pacific
Pioneer Interest Shares,pioneer interest
American Realty Investors Inc.,american realty investors
American Savings/FL FSB,american savingsfl fsb
Ennis Inc,ennis
American Science and Engineering Inc.,american science and engineering
AMERICAN SCIENCE & ENGR INC,american science engr
American Shared Hospital Services,american shared hospital services
AMERICAN SHARED HOSPITAL SVCS,american shared hospital svcs
LOGILITY INC,logility
American Vanguard Corp,american vanguard
AMERICAN WESTERN CORP,american western
AMERICAN WESTERN CORP NEW,american western new
ProShares UltraShort Financials,proshares ultrashort financials
BNY Mellon Strategic Municipals Inc,bny mellon strategic municipals
AMETEK Inc,ametek
AMETEK INC NEW,ametek new
Amgen Inc,amgen
APA Corporation,apa
Arvin Industries Inc,arvin industries
AMISTAR CORP,amistar
DREYFUS STRATEGIC MUNICIPALS INC,dreyfus strategic municipals
AMPCO PITTSBURGH CORP,ampco pittsburgh
AMPOWER INSTRUMENTS INC,ampower instruments
AMPOWER TECHNOLOGIES INC,ampower technologies
