,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
0,New America High Income Fund Inc.,new america high income,5.0,2.0,0,1,0,0.45,3,0.0,0,a506
1,AAR Corp,aar,3.0,1.0,1,0,0,0.6666666666666666,2,0.0,1,a060
2,Addmaster Corp,addmaster,9.0,3.0,1,0,0,0.3333333333333333,2,1.0,1,a350
3,ACME UNITED CORP,acme united,5.0,2.5,1,0,0,0.5,2,0.0,1,u503
4,First Trust Switzerland AlphaDEX Fund,first trust switzerland alphadex,7.25,2.0,0,1,0,0.27586206896551724,4,0.25,0,s032
5,ALL AMERICAN LIFE & FINL CORP,all american life finl,4.75,1.75,1,0,0,0.42105263157894735,4,0.25,0,a506
6,ALEXANDER & ALEXANDER SVCS INC,alexander alexander svcs,7.333333333333333,3.0,1,0,0,0.36363636363636365,4,0.3333333333333333,0,a402
7,AMERICAN AIRLINES GROUP INC,american airlines,8.0,3.0,1,0,0,0.5,3,0.0,1,a506
8,COMMUNICATIONS & ENTERTNMT CORP,communications entertnmt,11.5,3.5,1,0,0,0.34782608695652173,4,0.5,1,c050
9,CAREER EDUCATION CORP,career education,7.5,3.0,1,0,0,0.5333333333333333,3,0.0,1,e302
10,ASK GROUP INC,ask,3.0,1.0,1,0,0,0.3333333333333333,1,0.0,1,a200
11,Aeroflex Inc,aeroflex,8.0,3.0,1,0,0,0.5,2,1.0,1,a060
12,NUVEEN MUNCIPAL INCOME FUND INC,nuveen muncipal income,6.666666666666667,2.3333333333333335,0,1,0,0.45,4,0.6666666666666666,0,m052
13,AMERICAN SOUTH AFRICAN INVT LTD,american south african invt,6.0,2.25,1,0,0,0.4166666666666667,4,0.0,0,a506
14,ATE Enterprises Inc,ate enterprises,7.0,2.5,1,0,0,0.42857142857142855,4,0.0,1,e530
15,AVX Corp.,avx,3.0,1.0,1,0,0,0.3333333333333333,1,1.0,1,a120
16,FIRST TR EXCH TRD ALPHADEX FD II,first tr exch trd alphadex fd ii,3.7142857142857144,1.2857142857142858,0,1,0,0.2692307692307692,3,0.2857142857142857,0,a410
17,Honeywell International Inc,honeywell international,11.0,4.0,0,1,0,0.45454545454545453,4,0.0,1,i530
18,Pinnacle West Capital Corp,pinnacle west capital,6.333333333333333,2.3333333333333335,0,1,0,0.3684210526315789,3,0.0,0,p050
19,PHYSICIANS RESOURCE GROUP INC,physicians resource,9.0,2.5,0,1,0,0.4444444444444444,3,0.0,1,p020
20,PARAGON REAL EST EQU AND INV TR,paragon real est equ and inv tr,3.5714285714285716,1.5714285714285714,0,1,0,0.4,4,0.14285714285714285,0,p060
21,PROG HOLDINGS INC,prog,4.0,1.0,0,1,0,0.25,1,0.0,1,p602
22,ABBOTT LABORATORIES,abbott laboratories,9.0,3.0,1,0,0,0.4444444444444444,3,0.0,1,l010
23,Ackerley Group Inc,ackerley,8.0,3.0,1,0,0,0.5,2,0.0,1,a206
24,ACMAT CORP,acmat,5.0,2.0,1,0,0,0.4,2,1.0,1,a250
25,Acme Electric Corp,acme electric,6.0,2.5,1,0,0,0.4166666666666667,3,0.0,1,e402
26,NUVEEN MUNICIPAL VALUE FUND,nuveen municipal value,6.666666666666667,2.6666666666666665,0,1,0,0.5,3,0.3333333333333333,0,m050
27,BK Technologies Corp,bk technologies,7.0,2.5,1,0,0,0.35714285714285715,2,0.0,1,t020
28,AMREP Corp.,amrep,5.0,2.0,1,0,0,0.4,1,1.0,1,a560
