,word,Englishness,length
0,new america high income,9.607916783562844,20
1,aar,1.8234194691908883,3
2,addmaster,11.828579366990665,9
3,acme united,2.5866381311013154,10
4,first trust switzerland alphadex,37.23820290703838,29
5,all american life finl,12.475617084089066,19
6,alexander alexander svcs,23.071261041509928,22
7,american airlines,15.340366676606223,16
8,communications entertnmt,38.05397616346463,23
9,career education,12.12618004084528,15
10,ask,-0.4183941754057159,3
11,aeroflex,15.250323399542129,8
12,nuveen muncipal income,23.330514998635554,20
13,american south african invt,19.453091909665513,24
14,ate enterprises,12.753658020829235,14
15,avx,9.163622747408724,3
16,first tr exch trd alphadex fd ii,31.30316677472074,26
17,honeywell international,25.806829696121326,22
18,pinnacle west capital,15.657886291928111,19
19,physicians resource,24.010426868363382,18
20,paragon real est equ and inv tr,0.8442544283546329,25
21,prog,-0.553594720056001,4
22,abbott laboratories,28.91777559187353,18
23,ackerley,9.224833207605629,8
24,acmat,5.169511499336641,5
25,acme electric,8.757022281738127,12
26,nuveen municipal value,26.80149947675661,20
27,bk technologies,23.897159397776978,14
28,amrep,8.955573811150815,5
29,adams diversified equity,17.453549952629498,22
30,adams express,6.84676334395007,12
31,adams resources energy,25.801173190060116,20
32,adcor electronics,18.664179802539326,16
33,advertising unlimited,21.071498752599556,20
34,aequitron medical,15.020669212719826,16
35,aero systems,15.51427108832226,11
36,nuveen new york mun value,18.65070997176535,21
37,aerojet general,16.378829566316202,14
38,advanced micro devices,19.655395317723702,20
39,adventure lands of america,14.944019957667146,23
40,aetna,9.723272489860875,5
41,aetna new,9.652103484482847,8
42,aeicor,9.60448843284731,6
43,affiliated capital,14.068231152021461,17
44,agnico eagle mines,12.403595075384867,16
45,alanco technologies,28.0836795593929,18
46,nuveen premium muni fd,26.98743236313217,19
47,aid auto stores,2.114301073575297,13
48,alanco,6.32658632511219,6
49,air products and chemicals,17.149818723489886,23
50,air products chemicals,20.665213220686887,20
51,alanco resources,21.176523095335405,15
52,air transportation hldg,33.76975145394188,21
53,air wisconsin,10.188097598582125,12
54,air wisconsin services,21.074220604163543,20
55,airborne freight,16.106859699975377,15
56,airborne,11.919131361812171,8
57,alanco environmental res,23.733140965847248,22
58,oppenheimer multi sector tr,24.208895637294745,24
59,alaska air,6.750026251203019,9
60,alaska airls,15.464016554974686,11
61,alaska airgroup,22.998357737107256,14
62,atrion,2.747876280983552,6
63,western asset investment grade income,25.27161522536237,33
64,ikon office solutions,19.877520463356994,19
65,interchemical,11.53518539283416,13
66,inmont,4.751062590495776,6
67,pacific american income shs,14.976709338674087,24
68,western asset income,12.842794526214073,18
69,matrix pharmaceutical,24.125778751630687,20
70,matson,4.963478784436802,6
71,alexander energy,14.3357410788839,15
72,alexanders,15.030047176394849,10
73,lehigh press,4.583968420027842,11
74,adams natural resources,26.241070034675595,21
75,alico,4.347300343634109,5
76,algoma steel,9.516347741271904,11
77,alleghany,16.622304277678364,9
78,alleghany de,10.42418715117774,11
79,allen organ company,9.403369556760204,17
80,allegheny energy,21.013518398363445,15
81,petroleum resources,25.164893472680063,18
82,allen organ,3.645570341020685,10
83,allied bancshares,25.6835779745904,16
84,allied security,8.738070519529627,14
85,honeywell,14.558377429056842,9
86,aluminum specialty,19.944264778477,17
87,allis chalmers,10.156935121343878,13
88,allis chalmers energy,14.689674736321216,19
89,skyworks solutions,21.777220793286475,17
90,putnam high income conv fd,26.851633291926802,22
91,alpha petroleum exploration,22.467444621676627,25
92,sento technical innovations,27.976028096259398,25
93,sento,2.376059460520494,5
94,hatteras income securities,28.591017440290706,24
95,hatteras income secs,14.219532770029593,18
96,blackrock senior high income,23.023304160309387,25
97,first trust india nifty equal weight,7.68128738168035,31
98,helvetia,10.796218781845546,8
99,amcole energy,11.68968669765179,12
100,swiss helvetia,11.105264308544362,13
101,hess,-3.6671873248399156,4
102,hesston,7.991688873833788,7
103,lumina copper,4.725750774013117,12
104,uhaul,8.401954019710981,5
105,amerco,6.536692008167975,6
106,american building maintenance in,24.61052248339388,29
107,price capital,5.233968445486443,12
108,promus companies,13.439292677400067,15
109,primerica,10.144003897380976,9
110,invesco,9.333434399066272,7
111,van kampen,2.3588744371779713,9
112,invesco van kampen,11.692308836244244,16
113,american diagnostics,20.31230494789229,19
114,american ecology,10.16955306513016,15
115,american electric power,12.920812511392326,21
116,american fletcher,13.307846416116814,16
117,high yield plus fd,15.620325191885442,15
118,american vantage companies,23.679502639962074,24
119,american vantage cos,9.2328561483692,18
120,american express,6.739909598520786,15
121,aflac incorporated,19.090848299110412,17
122,aflac,5.435049820823136,5
123,american filtrona,17.052686825107568,16
124,american heliothermal,21.751940021268638,20
125,barings corporate investors,24.725869854544385,25
126,american furniture,17.165745539079595,17
127,mexico,10.724235463760216,6
128,amdura,9.292996279224035,6
129,associated productions,23.725955182491255,21
130,wyeth,6.565222172842064,5
131,curtisswright,25.457479033562798,13
132,american international,17.560095326494768,21
133,american management systems,28.253232443390324,25
134,american international pictures,26.00694000736256,29
135,american locker,8.506448973138147,14
136,damon,1.2820106875300403,5
137,gallery of history,5.657475687132538,16
138,american medical alert,12.975630270111527,20
139,american national ins,7.696135783357899,19
140,american national,9.079285604395789,16
141,american network,14.021738273486795,15
142,american pacific,10.237233916684197,15
143,pioneer interest,12.531146228879981,15
144,american realty investors,23.093869260970358,23
145,american savingsfl fsb,44.14512861033988,20
146,ennis,1.4105971230520484,5
147,american science and engineering,23.879151932873445,29
148,american science engr,19.32080723789467,19
149,american shared hospital services,26.518119133832997,30
150,american shared hospital svcs,19.097254241948384,26
151,logility,4.386068380468638,8
152,american vanguard,14.682651156209907,16
153,american western,13.751754946871586,15
154,american western new,13.680585941493558,18
155,proshares ultrashort financials,42.210408839626,29
156,bny mellon strategic municipals,39.15176362198723,28
157,ametek,6.911789314739316,6
158,ametek new,6.840620309361287,9
159,amgen,5.971891260538231,5
160,apa,0.01254777392720019,3
161,arvin industries,17.915029782149276,15
162,amistar,4.498372242366935,7
163,dreyfus strategic municipals,34.09030148196278,26
164,ampco pittsburgh,30.697623263027964,15
165,ampower instruments,22.918383546151723,18
166,ampower technologies,28.044740550943633,19
167,anadite,5.500171181646136,7
168,analog devices,14.027832926287163,13
169,analogic,5.182486112534201,8
170,anaren,5.644715890604203,6
171,analysts international,24.642700505601567,21
172,anaren microwave,17.35345972464693,15
173,moscow cablecom,12.103263586745506,14
174,crown andersen,6.990671960226135,13
175,andover controls,13.885766810305517,15
