original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
New America High Income Fund Inc.,new america high income,5.0,2.0,0,1,0,0.45,3,0.0,0,a506,9.607916783562844,20
AAR Corp,aar,3.0,1.0,1,0,0,0.6666666666666666,2,0.0,1,a060,1.8234194691908885,3
Addmaster Corp,addmaster,9.0,3.0,1,0,0,0.3333333333333333,2,1.0,1,a350,11.828579366990663,9
ACME UNITED CORP,acme united,5.0,2.5,1,0,0,0.5,2,0.0,1,u503,2.5866381311013154,10
First Trust Switzerland AlphaDEX Fund,first trust switzerland alphadex,7.25,2.0,0,1,0,0.2758620689655172,4,0.25,0,s032,37.23820290703838,29
ALL AMERICAN LIFE & FINL CORP,all american life finl,4.75,1.75,1,0,0,0.4210526315789473,4,0.25,0,a506,12.475617084089066,19
ALEXANDER & ALEXANDER SVCS INC,alexander alexander svcs,7.333333333333333,3.0,1,0,0,0.3636363636363636,4,0.3333333333333333,0,a402,23.071261041509928,22
AMERICAN AIRLINES GROUP INC,american airlines,8.0,3.0,1,0,0,0.5,3,0.0,1,a506,15.340366676606225,16
COMMUNICATIONS & ENTERTNMT CORP,communications entertnmt,11.5,3.5,1,0,0,0.3478260869565217,4,0.5,1,c050,38.05397616346463,23
CAREER EDUCATION CORP,career education,7.5,3.0,1,0,0,0.5333333333333333,3,0.0,1,e302,12.12618004084528,15
ASK GROUP INC,ask,3.0,1.0,1,0,0,0.3333333333333333,1,0.0,1,a200,-0.4183941754057159,3
Aeroflex Inc,aeroflex,8.0,3.0,1,0,0,0.5,2,1.0,1,a060,15.250323399542127,8
NUVEEN MUNCIPAL INCOME FUND INC,nuveen muncipal income,6.666666666666667,2.3333333333333335,0,1,0,0.45,4,0.6666666666666666,0,m052,23.33051499863555,20
AMERICAN SOUTH AFRICAN INVT LTD,american south african invt,6.0,2.25,1,0,0,0.4166666666666667,4,0.0,0,a506,19.453091909665513,24
ATE Enterprises Inc,ate enterprises,7.0,2.5,1,0,0,0.4285714285714285,4,0.0,1,e530,12.753658020829237,14
AVX Corp.,avx,3.0,1.0,1,0,0,0.3333333333333333,1,1.0,1,a120,9.163622747408724,3
FIRST TR EXCH TRD ALPHADEX FD II,first tr exch trd alphadex fd ii,3.7142857142857144,1.2857142857142858,0,1,0,0.2692307692307692,3,0.2857142857142857,0,a410,31.30316677472074,26
Honeywell International Inc,honeywell international,11.0,4.0,0,1,0,0.4545454545454545,4,0.0,1,i530,25.806829696121326,22
Pinnacle West Capital Corp,pinnacle west capital,6.333333333333333,2.3333333333333335,0,1,0,0.3684210526315789,3,0.0,0,p050,15.657886291928111,19
PHYSICIANS RESOURCE GROUP INC,physicians resource,9.0,2.5,0,1,0,0.4444444444444444,3,0.0,1,p020,24.010426868363385,18
