,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
0,OPTIMUM MANUFACTURING INC,optimum manufacturing,10.0,4.0,0,1,0,0.4,3,0.0,1,m050
1,GREAT FALLS GAS CO,great falls gas,4.333333333333333,1.0,0,1,0,0.3076923076923077,3,0.0,0,g603
2,ENERGY WEST INC,energy west,5.0,2.0,1,0,0,0.4,3,0.0,1,e506
3,ENERGY INC,energy,6.0,3.0,1,0,0,0.5,2,0.0,1,e506
4,GAS NATURAL INC,gas natural,5.0,2.0,0,1,0,0.4,3,0.0,1,n030
5,MOBILE NATIONAL CORP,mobile national,7.0,2.5,0,1,0,0.5,2,0.0,1,n030
6,SOUTH ALABAMA BANCORPORATION INC,south alabama bancorporation,8.666666666666666,3.3333333333333335,0,1,0,0.46153846153846156,6,0.3333333333333333,0,b052
7,BANCTRUST FINANCIAL GROUP INC,banctrust financial,9.0,2.5,1,0,0,0.3333333333333333,3,0.5,1,b052
8,GREAT COUNTRY BK ASONIA CT,great country bk asonia ct,4.4,1.6,0,1,0,0.4090909090909091,3,0.0,0,c053
9,WESTERN ENERGY RESOURCES INC,western energy resources,7.333333333333333,2.6666666666666665,0,0,1,0.4090909090909091,6,0.0,0,r020
10,SHAREDATA INC,sharedata,9.0,4.0,0,1,0,0.4444444444444444,3,1.0,1,s060
11,GARDENAMERICA CORP,gardenamerica,13.0,6.0,0,1,0,0.46153846153846156,3,1.0,1,g063
12,CAYUGA SAVINGS BANK NY,cayuga savings bank ny,4.75,1.5,1,0,0,0.42105263157894735,4,0.0,0,s010
13,IROQUOIS BANCORP INC,iroquois bancorp,7.5,2.5,0,1,0,0.4666666666666667,3,0.5,1,i602
14,CABOT MEDICAL CORP,cabot medical,6.0,2.5,1,0,0,0.4166666666666667,2,0.0,1,m030
15,DENSE PACIFIC MICROSYSTEMS INC,dense pacific microsystems,8.0,2.6666666666666665,1,0,0,0.375,4,0.0,0,m026
16,ARIZONA APPETITOS STORES INC,arizona appetitos stores,7.333333333333333,3.0,1,0,0,0.45454545454545453,3,0.3333333333333333,0,a103
17,FIGGIE INTERNATIONAL HLDGS INC,figgie international hldgs,8.0,2.6666666666666665,0,1,0,0.375,4,0.6666666666666666,0,i530
