original_name,company_name
OPTIMUM MANUFACTURING INC,optimum manufacturing
GREAT FALLS GAS CO,great falls gas
ENERGY WEST INC,energy west
ENERGY INC,energy
GAS NATURAL INC,gas natural
MOBILE NATIONAL CORP,mobile national
SOUTH ALABAMA BANCORPORATION INC,south alabama bancorporation
BANCTRUST FINANCIAL GROUP INC,banctrust financial
GREAT COUNTRY BK ASONIA CT,great country bk asonia ct
WESTERN ENERGY RESOURCES INC,western energy resources
SHAREDATA INC,sharedata
GARDENAMERICA CORP,gardenamerica
CAYUGA SAVINGS BANK NY,cayuga savings bank ny
IROQUOIS BANCORP INC,iroquois bancorp
CABOT MEDICAL CORP,cabot medical
DENSE PACIFIC MICROSYSTEMS INC,dense pacific microsystems
ARIZONA APPETITOS STORES INC,arizona appetitos stores
FIGGIE INTERNATIONAL HLDGS INC,figgie international hldgs
FIGGIE INTERNATIONAL INC DEL,figgie international del
SCOTT TECHNOLOGIES INC,scott technologies
CONCURRENT COMPUTER CORP,concurrent computer
DELTA COMPUTEC INC,delta computec
KEY CENTURION BANCSHARES,key centurion bancshares
BRAINERD INTERNATIONAL INC,brainerd international
DOCUGRAPHIX INC,docugraphix
TELECOMMUNICATIONS NETWORK INC,telecommunications network
CANYON STATE CORP,canyon state
AMERICAN PACIFIC MINT INC,american pacific mint
DALLAS GOLD & SILVER EXCHANGE IN,dallas gold silver exchange in
ENVELA CORP,envela
AMERICAN BRAKE SHOE CO,american brake shoe
ABEX CORP,abex
PLEXUS CORP,plexus
MIDAMERICA BANCSYSTEM INC,midamerica bancsystem
HOME & CITY SVGS BK ALBANY NY,home city svgs bk albany ny
GOOD GUYS INC,good guys
NEUROTECH CORP,neurotech
FRANKLIN SAVINGS BANK FSB,franklin savings bank fsb
FRANKLIN BANK NATL ASSOC,franklin bank natl assoc
FRANKLIN BANCORP INC,franklin bancorp
PORTS OF CALL INC,ports of call
XIOX CORP,xiox
AT COMM CORP,at comm
HARVARD SECURITIES GROUP PLC,harvard securities
HARVARD GROUP PLC,harvard
CANYON RESOURCES CORP,canyon resources
ANALYSIS & TECHNOLOGY INC,analysis technology
ROCKY MOUNTAIN CHOCOLATE FAC INC,rocky mountain chocolate fac
ROCKY MOUNTAIN CHOC FAC INC NEW,rocky mountain choc fac new
OLIVERS STORES INC,olivers stores
COMMERCIAL PROGRAMMING UNLMTD,commercial programming unlmtd
UNIVERSAL FRANCHISE OPPTYS CORP,universal franchise opptys
TEXSTYRENE CORP,texstyrene
ARIS CORP,aris
LAMONTS CORP,lamonts
LAMONTS APPAREL INC,lamonts apparel
CENTURY COMMUNICATIONS CORP,century communications
AMERICAN BLDGS CO,american bldgs
SEQUEL CORP,sequel
HANGER ORTHOPEDIC GROUP INC,hanger orthopedic
HANGER INC,hanger
VIDEO LIBRARY INC,video library
CARDINAL INDUSTRIES INC,cardinal industries
BIO NUTRIONICS INC,bio nutrionics
GREAT AMERICAN RECREATION INC,great american recreation
NEW MILFORD SAVINGS BANK,new milford savings bank
NEWMIL BANCORP INC,newmil bancorp
NATIONAL ACME CO,national acme
ACME CLEVELAND CORP,acme cleveland
ACME CLEVELAND CORP NEW,acme cleveland new
ORANGE FREE STATE INVESTMENT LTD,orange free state investment
FREE STATE CONSOL GOLD CO LTD,free state consol gold
UNITED SAVINGS BANK VIENNA VA,united savings bank vienna va
NORTHEAST OHIO AXLE INC,northeast ohio axle
ENVIROSOURCE INC,envirosource
AMERICAN HEALTH SVCS CORP,american health svcs
TYCO TOYS INC,tyco toys
ADAMS EXPRESS CO,adams express
ABM COMPUTER SYS,abm computer sys
FRANKLIN TELECOMMUNICATIONS CORP,franklin telecommunications
FRANKLIN WIRELESS CORP,franklin wireless
HYGEIA SCIENCES INC,hygeia sciences
AMERICAN PROPERTY GROUPS INC,american property groups
ACA JOE INTERCON LTD,aca joe intercon
DIGITEXT INC,digitext
ALEX BROWN INC,alex brown
DEWS LABORATORIES INC,dews laboratories
SUMMA RX LABORATORIES INC,summa rx laboratories
SCAT HOVERCRAFT INC,scat hovercraft
SPROUSE REITZ STORES INC,sprouse reitz stores
SUN MICROSYSTEMS INC,sun microsystems
GENERAL COMPUTER CORP,general computer
