,word,Englishness,length
0,optimum manufacturing,26.946268099985055,20
1,great falls gas,6.514188582177969,13
2,energy west,5.1590911691553405,10
3,energy,4.532739614977338,6
4,gas natural,3.3199778870887022,10
5,mobile national,5.587795094836959,14
6,south alabama bancorporation,30.346518709113443,26
7,banctrust financial,21.417072406839765,18
8,great country bk asonia ct,13.126566246368347,22
9,western energy resources,26.822788272641855,22
10,sharedata,14.127921965345022,9
11,gardenamerica,21.015516457974012,13
12,cayuga savings bank ny,12.586449357333684,19
13,iroquois bancorp,21.30095181693418,15
14,cabot medical,6.780133077830262,12
15,dense pacific microsystems,27.788699212207067,24
16,arizona appetitos stores,24.25813399548855,22
17,figgie international hldgs,38.03005281039612,24
18,figgie international del,15.528670469857234,22
19,scott technologies,25.81191643106338,17
20,concurrent computer,16.749390191402185,18
21,delta computec,16.74317318806483,13
22,key centurion bancshares,29.137757544892892,22
23,brainerd international,19.269752204327276,21
24,docugraphix,24.853543026180002,11
25,telecommunications network,36.73279237815648,25
26,canyon state,4.8417342121506515,11
27,american pacific mint,7.758884309407088,19
28,dallas gold silver exchange in,10.644136956886394,26
29,envela,6.866861852269975,6
30,american brake shoe,9.227633049741167,17
31,abex,6.2400192279227005,4
32,plexus,4.356111867709704,6
33,midamerica bancsystem,39.08763131956978,20
34,home city svgs bk albany ny,5.452949839851745,22
35,good guys,5.803040760624104,8
36,neurotech,13.88094162693305,9
37,franklin savings bank fsb,30.523459121325345,22
38,franklin bank natl assoc,19.497126846748166,21
39,franklin bancorp,15.800066152866494,15
40,ports of call,-3.686363381016456,11
41,xiox,7.234548686567813,4
42,at comm,-0.5277485624521803,6
43,harvard securities,22.875173375663245,17
44,harvard,6.73138386283803,7
45,canyon resources,21.281678187174222,15
46,analysis technology,21.707007109577894,18
47,rocky mountain chocolate fac,17.10218599992051,25
48,rocky mountain choc fac new,11.105567901698727,23
49,olivers stores,10.97964113059586,13
50,commercial programming unlmtd,34.98632354693649,27
51,universal franchise opptys,32.19520354243563,24
52,texstyrene,21.25478386824811,10
53,aris,-1.4193463657300742,4
54,lamonts,9.810430240556828,7
55,lamonts apparel,17.529150963814587,14
56,century communications,23.609483739990655,21
57,american bldgs,22.41347415991533,13
58,sequel,3.110879266691867,6
59,hanger orthopedic,15.152436820579094,16
60,hanger,2.6059765032779056,6
61,video library,13.859306990254193,12
62,cardinal industries,19.51146884732222,18
63,bio nutrionics,11.94061036652105,13
64,great american recreation,16.877635228037487,23
65,new milford savings bank,13.896986635377594,21
66,newmil bancorp,18.239771344592683,13
67,national acme,5.964595399566607,12
68,acme cleveland,14.61785314415091,13
69,acme cleveland new,14.546684138772882,16
70,orange free state investment,14.742377376849019,25
71,free state consol gold,2.0354403758306354,19
