original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
OPTIMUM MANUFACTURING INC,optimum manufacturing,10.0,4.0,0,1,0,0.4,3,0.0,1,m050,26.946268099985055,20
GREAT FALLS GAS CO,great falls gas,4.333333333333333,1.0,0,1,0,0.3076923076923077,3,0.0,0,g603,6.514188582177969,13
ENERGY WEST INC,energy west,5.0,2.0,1,0,0,0.4,3,0.0,1,e506,5.1590911691553405,10
ENERGY INC,energy,6.0,3.0,1,0,0,0.5,2,0.0,1,e506,4.532739614977338,6
GAS NATURAL INC,gas natural,5.0,2.0,0,1,0,0.4,3,0.0,1,n030,3.3199778870887022,10
MOBILE NATIONAL CORP,mobile national,7.0,2.5,0,1,0,0.5,2,0.0,1,n030,5.587795094836959,14
SOUTH ALABAMA BANCORPORATION INC,south alabama bancorporation,8.666666666666666,3.3333333333333335,0,1,0,0.4615384615384615,6,0.3333333333333333,0,b052,30.346518709113443,26
BANCTRUST FINANCIAL GROUP INC,banctrust financial,9.0,2.5,1,0,0,0.3333333333333333,3,0.5,1,b052,21.417072406839765,18
GREAT COUNTRY BK ASONIA CT,great country bk asonia ct,4.4,1.6,0,1,0,0.4090909090909091,3,0.0,0,c053,13.126566246368348,22
WESTERN ENERGY RESOURCES INC,western energy resources,7.333333333333333,2.6666666666666665,0,0,1,0.4090909090909091,6,0.0,0,r020,26.822788272641855,22
SHAREDATA INC,sharedata,9.0,4.0,0,1,0,0.4444444444444444,3,1.0,1,s060,14.127921965345022,9
GARDENAMERICA CORP,gardenamerica,13.0,6.0,0,1,0,0.4615384615384615,3,1.0,1,g063,21.015516457974012,13
CAYUGA SAVINGS BANK NY,cayuga savings bank ny,4.75,1.5,1,0,0,0.4210526315789473,4,0.0,0,s010,12.586449357333684,19
IROQUOIS BANCORP INC,iroquois bancorp,7.5,2.5,0,1,0,0.4666666666666667,3,0.5,1,i602,21.30095181693418,15
CABOT MEDICAL CORP,cabot medical,6.0,2.5,1,0,0,0.4166666666666667,2,0.0,1,m030,6.780133077830262,12
DENSE PACIFIC MICROSYSTEMS INC,dense pacific microsystems,8.0,2.6666666666666665,1,0,0,0.375,4,0.0,0,m026,27.788699212207067,24
ARIZONA APPETITOS STORES INC,arizona appetitos stores,7.333333333333333,3.0,1,0,0,0.4545454545454545,3,0.3333333333333333,0,a103,24.25813399548855,22
FIGGIE INTERNATIONAL HLDGS INC,figgie international hldgs,8.0,2.6666666666666665,0,1,0,0.375,4,0.6666666666666666,0,i530,38.03005281039612,24
FIGGIE INTERNATIONAL INC DEL,figgie international del,7.333333333333333,2.6666666666666665,0,1,0,0.4545454545454545,4,0.3333333333333333,0,i530,15.528670469857234,22
SCOTT TECHNOLOGIES INC,scott technologies,8.5,2.5,0,1,0,0.3529411764705882,3,0.0,1,t020,25.81191643106338,17
CONCURRENT COMPUTER CORP,concurrent computer,9.0,3.0,1,0,0,0.3333333333333333,3,0.0,1,c052,16.749390191402185,18
DELTA COMPUTEC INC,delta computec,6.5,2.5,1,0,0,0.3846153846153846,2,0.5,1,c051,16.74317318806483,13
KEY CENTURION BANCSHARES,key centurion bancshares,7.333333333333333,2.3333333333333335,0,1,0,0.4090909090909091,3,0.3333333333333333,0,b052,29.137757544892892,22
BRAINERD INTERNATIONAL INC,brainerd international,10.5,3.5,1,0,0,0.4285714285714285,4,0.0,1,i530,19.269752204327276,21
DOCUGRAPHIX INC,docugraphix,11.0,4.0,1,0,0,0.3636363636363636,1,1.0,1,d020,24.85354302618,11
TELECOMMUNICATIONS NETWORK INC,telecommunications network,12.5,4.5,0,1,0,0.4,3,0.0,1,t040,36.73279237815648,25
CANYON STATE CORP,canyon state,5.5,1.5,1,0,0,0.4545454545454545,2,0.0,1,c050,4.8417342121506515,11
AMERICAN PACIFIC MINT INC,american pacific mint,6.333333333333333,2.6666666666666665,1,0,0,0.4210526315789473,4,0.0,0,a506,7.758884309407088,19
