,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
0,Burlington Coat Factory Investments Holdings Inc,burlington coat factory investments,8.0,2.5,1,0,0,0.34375,5,0.0,0,i510
1,iPayment Inc,ipayment,8.0,3.0,0,1,0,0.5,1,1.0,1,i105
2,TXU US Holdings Co,txu us,2.5,1.0,0,1,0,0.4,2,0.5,1,t200
3,Energy Future Holdings Corp,energy future,6.0,2.5,1,0,0,0.5,3,0.0,1,e506
4,Morris Publishing Group LLC,morris publishing llc,6.333333333333333,2.0,0,1,0,0.2631578947368421,3,0.0,0,p014
5,Visant Corp,visant,6.0,2.0,0,0,1,0.3333333333333333,1,1.0,1,v020
6,Yankee Holding Corp,yankee,6.0,2.0,0,0,1,0.6666666666666666,2,0.0,1,y052
7,Building Materials Corp of America,building materials of america,6.5,2.75,1,0,0,0.46153846153846156,4,0.0,0,m030
8,BWAY Corp,bway,4.0,1.0,1,0,0,0.5,1,1.0,1,b000
9,BWAY Intermediate Co Inc,bway intermediate,8.0,3.0,1,0,0,0.5,3,0.5,1,i530
10,CBD Media LLC,cbd media llc,3.6666666666666665,1.6666666666666667,1,0,0,0.2727272727272727,2,0.0,0,m030
11,Choctaw Resort Development Enterprise,choctaw resort development enterprise,8.5,2.75,1,0,0,0.35294117647058826,7,0.0,0,d010
12,Co-operators General Insurance Co,operators general insurance,8.333333333333334,3.3333333333333335,0,1,0,0.44,4,0.0,0,o106
13,Pacific Life Insurance Co,pacific life insurance,6.666666666666667,2.3333333333333335,0,1,0,0.45,4,0.0,0,i520
14,Nebraska Book Co Inc,nebraska book,6.0,2.0,0,1,0,0.4166666666666667,2,0.0,1,n016
15,Peninsula Gaming LLC,peninsula gaming llc,6.0,2.3333333333333335,0,1,0,0.3333333333333333,3,0.0,0,p050
16,NewPage Holding Corp,newpage,7.0,2.0,0,1,0,0.42857142857142855,2,1.0,1,n010
17,Sbarro Inc.,sbarro,6.0,2.0,0,1,0,0.3333333333333333,2,1.0,1,s106
18,Coaxiall LLC,coaxiall llc,5.5,1.5,1,0,0,0.36363636363636365,4,0.5,1,c020
19,Coinmach Corp,coinmach,8.0,2.0,1,0,0,0.375,2,1.0,1,c050
20,CNL Lifestyle Properties Inc,cnl lifestyle properties,7.333333333333333,2.0,1,0,0,0.36363636363636365,4,0.3333333333333333,0,p601
21,Communications & Power Industries Inc,communications power industries,9.666666666666666,3.3333333333333335,1,0,0,0.41379310344827586,4,0.0,0,c050
22,Concentra Operating Corp,concentra operating,9.0,3.5,1,0,0,0.3888888888888889,3,0.5,1,c052
23,Continental Global Group Inc.,continental global,8.5,3.0,1,0,0,0.35294117647058826,3,0.0,1,c053
24,Cox Communications Inc,cox communications,8.5,3.0,1,0,0,0.4117647058823529,3,0.0,1,c050
25,Decrane Aircraft Holdings Inc,decrane aircraft,7.5,2.0,1,0,0,0.4,3,0.5,1,a062
26,Doe Run Resources Corp (The),doe run resources,5.0,1.6666666666666667,1,0,0,0.4666666666666667,3,0.0,0,r020
27,El Pollo Loco Inc,el pollo loco,3.6666666666666665,1.6666666666666667,1,0,0,0.45454545454545453,4,0.3333333333333333,0,p040
28,Exopack Holding Corp,exopack,7.0,3.0,1,0,0,0.42857142857142855,1,1.0,1,e201
29,Eye Care Centers of America,eye care centers of america,4.6,1.8,1,0,0,0.5217391304347826,6,0.0,0,c053
30,AKI Holding Corp,aki,3.0,2.0,1,0,0,0.6666666666666666,1,1.0,1,a200
31,Allbritton Communications Co,allbritton communications,12.0,4.0,1,0,0,0.375,3,0.5,1,c050
32,Alliance Laundry Systems LLC,alliance laundry systems llc,6.25,2.0,1,0,0,0.36,5,0.0,0,a405
33,American Achievement Corp,american achievement,9.5,3.5,1,0,0,0.47368421052631576,4,0.0,1,a201
34,American Cellular Corp,american cellular,8.0,3.5,1,0,0,0.4375,3,0.0,1,a506
35,American Media Operations Inc,american media operations,7.666666666666667,3.6666666666666665,1,0,0,0.5217391304347826,4,0.0,0,o106
36,K-Sea GP Holdings LP,ksea gp lp,2.6666666666666665,1.3333333333333333,0,1,0,0.25,2,0.3333333333333333,0,k200
37,American Lawyer Media Inc.,american lawyer media,6.333333333333333,3.0,1,0,0,0.5263157894736842,4,0.0,0,a506
38,Airxcel Inc.,airxcel,7.0,2.0,1,0,0,0.42857142857142855,1,1.0,1,a062
39,Affinity Group Holding Inc,affinity,8.0,4.0,1,0,0,0.5,2,0.0,1,a105
40,Advanstar Communications Inc,advanstar communications,11.5,4.0,1,0,0,0.391304347826087,4,0.5,1,c050
41,American Tire Distributors Holdings Inc,american tire distributors,8.0,3.3333333333333335,1,0,0,0.4166666666666667,4,0.0,0,d023
42,AmeriPath Inc,ameripath,9.0,4.0,1,0,0,0.4444444444444444,2,1.0,1,a506
43,Amscan Holdings Inc.,amscan,6.0,2.0,1,0,0,0.3333333333333333,2,1.0,1,a520
44,Appleton Papers Inc.,appleton papers,7.0,2.5,1,0,0,0.35714285714285715,4,0.0,1,a140
45,Open Link Financial Inc,open link financial,5.666666666666667,2.0,0,1,0,0.4117647058823529,4,0.0,0,f050
46,Aramark Corp,aramark,7.0,3.0,1,0,0,0.42857142857142855,3,1.0,1,a605
47,Associated Materials LLC,associated materials llc,7.333333333333333,3.3333333333333335,1,0,0,0.4090909090909091,4,0.0,0,a202
48,Atlantic Express Transportation Corp.,atlantic express transportation,9.666666666666666,3.0,1,0,0,0.3448275862068966,5,0.0,0,t605
49,Berry Plastics Corp,berry plastics,6.5,2.0,1,0,0,0.3076923076923077,2,0.0,1,p402
50,BGF Industries Inc.,bgf industries,6.5,2.0,1,0,0,0.3076923076923077,2,0.5,1,i530
51,Brand Services Inc,brand services,6.5,2.0,1,0,0,0.3076923076923077,2,0.0,1,s061
