,word,Englishness,length
0,burlington coat factory investments,35.30215643101164,32
1,ipayment,12.809711619033413,8
2,txu us,7.826641093404358,5
3,energy future,10.630174311177946,12
4,morris publishing llc,24.043118511211766,19
5,visant,3.5481694654062945,6
6,yankee,6.208459546626966,6
7,building materials of america,21.115090814652714,26
8,bway,4.245511797654198,4
9,bway intermediate,17.97640964731323,16
10,cbd media llc,17.81723503613292,11
11,choctaw resort development enterprise,40.14862770877997,34
12,operators general insurance,25.148266085103682,25
13,pacific life insurance,13.929452713956477,20
14,nebraska book,11.930889270670624,12
15,peninsula gaming llc,20.778209130659697,18
16,newpage,11.942191024749807,7
17,sbarro,12.174678034413114,6
18,coaxiall llc,17.973039670174956,11
19,coinmach,12.08471678131295,8
20,cnl lifestyle properties,33.47273494869276,22
21,communications power industries,33.86780892247438,29
22,concentra operating,13.448753505306339,18
23,continental global,14.56868597916125,17
24,cox communications,17.39139712722771,17
25,decrane aircraft,16.857644053450517,15
26,doe run resources,16.158398479800105,15
27,el pollo loco,0.7978318682467256,11
28,exopack,6.731238304570249,7
29,eye care centers of america,6.596582020189247,23
30,aki,0.48328499059597974,3
31,allbritton communications,34.14498568273471,24
32,alliance laundry systems llc,33.50834199643058,25
33,american achievement,20.994183136351836,19
34,american cellular,15.531578499925182,16
35,american media operations,17.67025576004392,23
36,ksea gp lp,21.508455999586836,8
37,american lawyer media,12.608142939445882,19
38,airxcel,13.96681427374183,7
39,affinity,5.48212222862822,8
40,advanstar communications,30.054168883191316,23
41,american tire distributors,25.246174288426015,24
42,ameripath,12.091734292476641,9
43,amscan,6.090202718543272,6
44,appleton papers,12.650558534199554,14
45,open link financial,11.622170889169137,17
46,aramark,7.372387681000004,7
47,associated materials llc,30.762152124630212,22
48,atlantic express transportation,25.464389405902498,29
49,berry plastics,4.322397839337713,13
50,bgf industries,29.74323015363882,13
51,brand services,11.137269961658973,13
52,rbs global,21.036578314630646,9
53,readers digest assn,14.625086768198404,17
54,rockwood specialties,25.73172779701157,19
55,rose hills,3.8214395198632785,9
56,archibald candy,14.019737252024731,14
57,foamex lp,15.871392789997852,8
58,greyhound lines,15.293176141015145,14
59,gundleslt environmental,42.3208255705013,22
60,home interiors gifts,18.999086178211535,18
61,huntsman polymers,21.887427440727024,16
62,iasis healthcare llc,34.65711660993672,18
63,mtvi,10.684204596078672,4
64,icg canada,12.015932321379868,9
65,millipore microelectronics,36.56161410958258,25
66,sovereign specialty chemicals,31.768350520378757,27
67,sparta,3.288109010178842,6
68,spheris,4.656590590196439,7
69,stanadyne,11.544501304051126,9
70,bti telecom,21.648887519112048,10
71,susquehanna media,20.649298406023966,16
72,twenty services,17.517787573009926,14
73,unifrax,9.45694449723738,7
74,united components,15.255606184136706,16
75,united refining,5.373888079981783,14
76,universal hospital services,24.89930114948463,25
77,muzak llc,17.65028055827333,8
78,national mentor,4.038634904210819,14
79,new world pasta,4.664574188607798,13
80,nextmedia operating,20.814249032790272,18
81,ntk,13.730007134350332,3
82,nortek,7.841647769342318,6
83,outsourcing solutions,28.26554412223036,20
84,northland cable television,22.496422708599642,24
85,omega cabinets,16.657599207821328,13
86,pdvsa finance,20.789264643195928,12
87,phibro animal health,15.326747221545224,18
88,phoenix color,9.993113156653541,12
89,pliant,1.7389189069521995,6
90,remington arms,13.809736063162173,13
91,anteon,3.4339513852897934,6
92,sungard data systems,20.644069006618007,18
93,aquachem,10.905371321546289,8
94,trump atlantic city assocs,18.913496847554683,23
95,argotech,12.581561064504177,8
96,hexion,2.53300342420673,6
97,mmi products,17.671139386871634,11
98,americo life,9.85166190047652,11
99,medquest associates,27.746476012371645,18
100,american builders contractors supply,33.98380989187656,33
101,madison river capital llc,20.05033958156323,22
102,leslies poolmart,24.780987181676032,15
103,knowles electronics,21.322758438880328,18
104,vwr funding,23.991266930408376,10
105,key components llc,23.753971272310814,16
106,american tissue,15.36901433524313,14
